Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
Templeton Growth (Euro) A(acc)EUR,EUR,"Rahasto sijoittaa pääasiassa missä tahansa maailmassa, myös kehittyvillä markkinoilla, sijaitsevien yhtiöiden osakesidonnaisiin arvopapereihin. Rahasto sijoittaa myös amerikkalaisiin, eurooppalaisiin ja kansainvälisiin talletustodistuksiin (American, European and Global Depository Receipts). Rahasto voi myös sijoittaa vallitsevasta markkinatilanteesta riippuen enintään 25 % nettoarvostaan missä tahansa maailmassa sijaitsevien valtioiden ja yhtiöiden velkapapereihin.Rahaston nimi osoittaa, että sen perusvaluutta on euro, mikä ei tarkoita sitä, että jokin tietty osuus rahaston nettovaroista olisi sijoitettu euroina.",2 stars,4 / 7,8,32,"1,79%",Maantiede,Maailma,
Fidelity Asia Pacific Opps A-Acc-EUR,EUR,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% of its assets, in equities of companies that are headquartered or do most of their business in the Asia Pacific (excluding Japan) region including emerging markets. The fund may also invest in money market instruments on an ancillary basis.",3 stars,4 / 7,6,443,"1,91%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia-Tyynimeri ei-Japani
Fondita European Micro Cap B,EUR,"Fondita European Micro Cap Placement Fund on osakerahasto, joka aloitti toimintansa 7.3.2017. Se sijoittaa varansa pääasiassa pienten pörssiyhtiöiden osakkeisiin EU-maissa ja Sveitsissä. Pienet yritykset ovat yrityksiä, joiden markkina-arvo on alle 800 miljoonaa euroa. Rahaston sijoitustavoitteiden saavuttamiseksi käytetään aktiivista salkunhoitoa. Fondita ei aio harjoittaa aktiivista omistajapolitiikkaa.",3 stars,4 / 7,8,93,"2,00%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
Swedbank Robur Europafond A,SEK,"Europafond is an actively managed equity fund that mainly invests in companies across a range of sectors in Europe. The fund has an active investment strategy focused on a selection of companies, where sector, regional and thematic analyses are also key features of the strategy. The fund invests primarily in quality companies with strong market positions, and good growth prospects with reasonable valuations. The fund complies with Swedbank Robur’s Responsible Investment Policy. Read more about the policy in the fund’s Information Brochure and swedbankrobur.se. Sustainability and climate work is an integrated part in our investment strategy. The fund consists of share classes, for more information see the Information Brochure. The fund is suitable for those who want to take part in trends in the European stock market.",4 stars,4 / 7,8,510,"1,25%",Tyyli,kasvuosakkeet,
DWS Invest Multi Opportunities EUR LC,EUR,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the sub-fund is to achieve an above-average return. The sub-fund is actively managed and is not managed in reference to a benchmark. The sub-fund may invest in equities, in interest-bearing securities, in certificates on, for example, equities, bonds and indices, in investment funds, in derivatives, in convertible and warrant-linked bonds whose warrants relate to securities, in warrants on securities, in participation and dividend-right certificates, in money market instruments and cash.",3 stars,4 / 7,8,42,"1,27%",Yhdistelmä,Joustava,
S-Pankki Fossiiliton Euro ESG Osake A,EUR,"Rahaston sijoitustoiminnan tavoitteena on aktiivisella rahastonhoidolla saada sijoitetuille varoille mahdollisimman hyvä pitkän aikavälin tuotto, joka ylittää vertailuindeksin tuoton. Rahaston varat sijoitetaan eurooppalaisten yritysten osakkeisiin. Rahaston aktiivisuutta mitataan ns. aktiiviosuus -tunnusluvulla. Rahastossa noudatetaan S-Pankin Varallisuudenhoitoliiketoiminnan vastuullisen sijoittamisen periaatteita, joiden mukaisesti rahasto ei sijoita kansainvälisillä sopimuksilla kiellettyjen aseiden valmistajiin, ydinaseiden valmistajiin, tupakan tai viihdekäyttöön tarkoitetun kannabiksen valmistajiin, eikä sellaisiin kaivos-, sähkö- tai muihin yhtiöihin, jotka ovat S-Pankin poissulkulistalla. Rahasto noudattaa laajennettua poissulkua fossiilisten energianlähteiden osalta.",2 stars,4 / 7,9,192,"1,80%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
ODIN Sverige C EUR,EUR,ODIN Sverige sijoittaa pääasiassa Tukholman arvopaperipörssissä noteerattuihin osakkeisiin. Sijoituskohteet valitaan vapaasti Ruotsissa eri toimialoilla toimivista yrityksistä. Rahaston vertailuindeksi on Stockholmsbörsens Benchmark Capped Total Return Index.,3 stars,5 / 7,8,358,"1,20%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Ruotsi small/mid
BNP Paribas Local Em Bd Cl C,USD,The investment objective of the fund is to increase the value of its assets over the medium term by investing primarily in local emerging bonds.,2 stars,3 / 7,8,24,"1,82%",Korko,Kehittyvät maat,
Swedbank Robur Sverige A,SEK,"Sverige is an actively managed equity fund that mainly invests in large and medium-sized companies across a range of sectors in Sweden and where up to 10 percent may be invested in other Nordic countries. The fund has a long-term investment horizon and an active investment strategy focused on a selection of companies rather than certain sectors. The fund complies with Swedbank Robur’s Policy for Responsible Investment and also applies an extended exclusion level. Read more about the Policy and Swedbank Robur’s Exclusion Strategy under Sustainability on swedbankrobur.se. Sustainability and climate work is an integrated part in our investment strategy. The fund consists of share classes, for more information see the Information Brochure. The fund is suitable for those who want a risk diversification in different companies and industries in Sweden.",2 stars,4 / 7,8,500,"1,25%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Ruotsi
JPM Europe Dynamic Techs Fd A (dist) EUR,EUR,"Rahasto pyrkii tarjoamaan pitkän aikavälin pääoman arvonnousua sijoittamalla pääasiassa eurooppalaisten teknologiayritysten (mukaan lukien viestintä- ja tietoliikenne) salkkuun. Vähintään 67 prosenttia alarahaston kokonaisvaroista (käteinen ja käteiseen verrattavat varat pois lukien) sijoitetaan sellaisten teknologiayritysten (mukaan lukien viestintä ja tietoliikenne) osakkeisiin ja osakesidonnaisiin arvopapereihin, jotka on perustettu jonkin Euroopan maan lainsäädännön mukaisesti ja joiden päätoimipaikka on Euroopassa, tai joiden liiketoiminnasta suurin osa tapahtuu Yhdysvalloissa, vaikka yritykset noteerattaisiin muualla kuin Euroopassa.",2 stars,5 / 7,8,732,"1,74%",Sektori,Teknologia,
BGF Future of Transport A2,USD,"The Fund seeks to maximise total return by investing at least 70% of its total assets in the equity securities of companies globally whose predominant economic activity comprises the research, development, production and/or distribution of technologies used and applied to transport.",2 stars,5 / 7,9,984,"1,81%",Sektori,Teknologia,
Aktia Nordic High Yield B,EUR,"Rahasto sijoittaa varansa pääosin luottolaitosten tai muiden yritysten liikkeeseen laskemiin joukkolainoihin, joiden etuoikeusasema liikkeeseenlaskijan maksukyvyttömyystilanteissa on huonompi kuin muilla velkojilla, mutta parempi kuin osakkeenomistajilla.",4 stars,2 / 7,8,1060,"0,81%",Korko,High Yield,
UBS (Lux) BF Euro Hi Yld € P-acc,EUR,"Rahasto sijoittaa pääasiassa euromääräisiin alhaisemman luottoluokituksen omaavien liikkeellelaskijoiden joukkovelkakirjoihin (yritysjoukkovelkakirjat). Sijoitussalkun maturiteettia hoidetaan aktiivisesti (ks. jäljellä oleva maturiteetti). Hajautus eri luottoluokitusten mukaan on erityishuomion kohteena. Sijoitustavoitteena on saada korkeampi tuotto kuin korkean luokituksen omaavilla euromääräisillä joukkovelkakirjoilla. Rahasto sopii sijoittajille, jotka haluavat laajalti hajautetun salkun euromääräisiä yritysjoukkovelkakirjoja ja jotka ovat valmiita hyväksymään suuremmat hintavaihtelut kuin korkealuokkaisilla joukkovelkakirjoilla.",4 stars,2 / 7,8,199,"1,30%",Korko,High Yield,
S-Pankki Ilmastotavoite Maailma Osake A,EUR,"Rahaston sijoitustoiminnan tavoitteena on saavuttaa pitkällä aikavälillä mahdollisimman hyvä tuotto. Rahasto sijoittaa varansa maailmanlaajuisesti pääosin sellaisiin yhtiöiden osakkeisiin ja osakesidonnaisiin arvopapereihin, jotka ovat osa sen vertailuindeksiä. Rahasto tekee kestäviä sijoituksia, painottaen erityisesti ympäristökysymyksiä. Rahaston tavoitteena on ilmastonmuutoksen hillintä ja hiilipäästöjen vähentäminen, joita edistetään muun muassa sijoittamalla vertailuindeksiin sisältyviin yhtiöihin.",0 stars,4 / 7,9,264,"1,80%",Maantiede,Maailma,
Aktia Varainhoitosalkku 25 B,EUR,"Rahasto on korkopainotteinen, maailmanlaajuinen yhdistelmärahasto, joka sijoittaa varansa pääsääntöisesti korko-ja osakemarkkinoille sijoittavien sijoitusrahastojen rahasto-osuuksiin tai yhteissijoitusyritysten osuuksiin sekä vaihtoehtorahastojen rahasto-osuuksiin. Rahasto voi sijoittaa myös Aktia Rahastoyhtiön hallinnoimien rahastojen rahasto-osuuksiin. Neutraalitilanteessa rahasto sijoittaa 75 % varoistaan korkomarkkinoille ja 25 % osakemarkkinoille, mutta rahaston varoista voi markkinatilanteesta riippuen korkomarkkinoille olla sijoitettuna 50-100 %, osakemarkkinoille 0-50 % ja vaihtoehtoisiin omaisuusluokkiin enintään 20 %.",4 stars,2 / 7,8,158,"1,37%",Yhdistelmä,Varovainen,
Amundi Fds Glbl Eq Dyn Mlt Facs A USD C,USD,"The Sub-Fund seeks to achieve long-term capital growth. The Sub-Fund is a financial product that promotes ESG characteristics pursuant to Article 8 of the Disclosure Regulation. The Sub-Fund invests mainly in equities of companies around the world. Specifically, the Sub-Fund invests at least 90% of its net assets in equities that are issued by companies that are headquartered, or do substantial business, in developed countries. There are no currency constraints on these investments. While complying with the above policies, the Sub-Fund may also invest in other equities, equity-linked instruments and deposits, and may invest up to 10% of net assets in UCITS/ICIs.",4 stars,4 / 7,8,131,"0,98%",Tyyli,kasvuosakkeet,
S-Pankki Kasvavat Taloudet Osake A,EUR,"Rahaston sijoitustoiminnan tavoitteena on aktiivisella rahastonhoidolla saada sijoitetuille varoille mahdollisimman hyvä pitkän aikavälin tuotto, joka ylittää vertailuindeksin tuoton. Vertailuindeksinä käytetään MSCI Frontier Emerging Markets Net TR -tuottoindeksiä euroissa laskettuna. Rahasto sijoittaa varansa pääasiassa kehittyviin- tai reunamarkkinoihin kuuluvissa maissa toimivien yhtiöiden osakkeisiin ja osakesidonnaisiin arvopapereihin, joiden talouksilla on merkittävä kasvupotentiaali ja sitä tukeva demografinen kehitys. Sijoituspäätökset perustuvat ensisijaisesti osakekohtaisiin tekijöihin. Toimialaa, makrotaloudellisia tekijöitä sekä maan demografisia tekijöitä käytetään toissijaisina päätöksenteon perusteina.",2 stars,4 / 7,8,49,"1,90%",Maantiede,Kehittyvät maat,Kehittyvät maat
SEB Artificial Intelligence C (USD),USD,"Fonden har som mål att öka värdet av din investering över tid och att överträffa sitt jämförelseindex. Fonden är aktivt förvaltad och investerar i aktier globalt, inklusive tillväxtmarknader, i bolag som möjliggör användning och/eller utveckling av artificiell intelligens (AI). Fonden får investera upp till 15% av sitt värde på den inhemska kinesiska marknaden.",3 stars,5 / 7,8,1003,"1,55%",Sektori,Teknologia,
Fidelity FIRST All Country Wld A-Dis-USD,USD,"The fund aims to achieve capital growth over the long term. The fund invests at least 70% of its assets, in equities of companies in developed and emerging markets anywhere in the world. The fund may also invest in money market instruments on an ancillary basis.",3 stars,4 / 7,8,29,"1,92%",Maantiede,Maailma,
DWS Invest ESG Eurp Small/Mid Cap LC,EUR,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability-related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The sub-fund’s investment objective is to achieve the highest possible appreciation of capital in euro, in combination with a reasonable annual distribution of income. The sub-fund is actively managed and is not managed in reference to a benchmark. At least 80% of the sub-fund`s assets are invested in equities.",3 stars,4 / 7,8,183,"1,58%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa mid-cap
SEB US Focus Core Fund C (EUR),EUR,"SEB US Focus Core Fund pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä ja ylittämään vertailuindeksin tuoton. Rahasto sijoittaa pääasiassa yhdysvaltalaisten yritysten osakkeisiin. Rahasto sijoittaa vähintään 85 % nettovaroistaan minkä tahansa kokoisten ja minkä tahansa sektorien yhdysvaltalaisten tai Yhdysvaltain säännellyillä markkinoilla vaihdettujen yritysten osakkeisiin ja osakesidonnaisiin arvopapereihin. Sijoitustiimi hallinnoi rahaston sijoituksia perustekijästrategialla valikoidakseen yrityksiä, joiden se uskoo tarjoavan parhaan potentiaalin pitkän aikavälin pääoman arvonnousulle. Tavoitteena on rakentaa keskitetty salkku, johon sisältyy pääosin alojensa johtavia yrityksiä (ns. core-yhtiöt). Rahasto käyttää ympäristö-, yhteiskunta- ja hallintoseikkoja (ESG) koskevia kriteereitä sijoitusprosessin keskeisenä elementtinä ja pyrkii vaikuttamaan yrityksiin aktiivisella omistajaohjauksella kestävään kehitykseen liittyvissä asioissa.",3 stars,4 / 7,8,4,"1,55%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Ålandsbanken Varainhoito B,EUR,"Normaalissa markkinatilanteessa rahaston varoista sijoitetaan 50% osakerahastoihin ja 50% korkorahastoihin. Tarpeen mukaan osake- ja korkorahastojen osuudet voivat vaihdella: osakerahastot 30-70% ja korkorahastot 30-70% rahaston varoista. Rahasto noudattaa sijoituksissaan aktiivista sijoitusstrategiaa. Rahaston kehitykseen vaikuttavat osake- ja korkorahastosijoitusten välinen suhde sekä rahaston salkunhoitajan kyky valita menestyviä rahastoja sijoituskohteiksi. Rahasto sijoittaa objektiivisuussyystä varojaan vain sijoitusrahastoihin, jotka eivät ole Ålandsbanken Rahastoyhtiön hallinnoimia.",4 stars,3 / 7,8,97,"1,30%",Yhdistelmä,Maltillinen,
SEB Mixed 80 C (EUR),EUR,"Tämä aktiivisesti hallinnoitu rahasto pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä ja ylittämään vertailuindeksin tuoton. Rahastonhoitaja tekee aktiivisia sijoituspäätöksiä vallitsevien markkinanäkymien analyysin ja huolellisten valintojen pohjalta. Rahasto sijoittaa suoraan tai epäsuorasti osakkeisiin, velkaarvopapereihin ja rahamarkkinainstrumentteihin. Rahaston tavoitteena on sijoittaa 80 % globaaleihin osakkeisiin ja osakesidonnaisiin arvopapereihin, mukaan lukien kehittyvien markkinoiden osakkeet. Rahaston nettoaltistus osakkeisiin voi kuitenkin vaihdella markkinatekijöistä riippuen eri aikoina 60-100 % välillä.",4 stars,3 / 7,8,258,"1,43%",Yhdistelmä,Riskipitoinen,
JPM Global Balanced A (dist) EUR,EUR,"The investment objective of the fund is to provide long-term capital growth and income by investing primarily in companies and debt securities issued or guaranteed by governments or their agencies, globally, using derivatives where appropriate. Multi-asset approach, combining asset allocation with bottom-up expertise leveraged from specialists from JPMorgan Asset Management’s global investment platform. Actively managed implementation of equity and bond strategies, with a balanced risk profile.",3 stars,3 / 7,8,57,"1,66%",Yhdistelmä,Maltillinen,
Handelsbanken Usa Indeksi,EUR,"Rahasto on indeksirahasto, jonka tavoitteena on seurata Solactive ISS ESG Screened USA -indeksiä niin tarkasti kuin mahdollista. Rahasto sijoittaa Amerikan osakemarkkinoille. Indeksi koostuu suurista ja keskisuurista USA:n pörssissä noteeratuista yhtiöistä pois sulkien ne, jotka eivät täytä indeksin vastuullisuusvaatimuksia. Rahaston sijoituspolitiikan puitteissa huomioidaan kansainväliset normit ja säännöt koskien ympäristöä, sosiaalista vastuuta ja omistajaohjausta.",4 stars,4 / 7,9,93159,"0,20%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Nordnet One Varovainen EUR,EUR,"Nordnet Varovainen EUR on rahasto-osuusrahasto, jolla on altistusta globaaleille osake-, korko- ja luottomarkkinoille. Osakemarkkinoille altisteisten sijoitusten ohjearvo on 30 prosenttia. Rahaston tavoitteena on saavuttaa pitkän aikavälin arvonnousua laajalla hajautuksella.",5 stars,3 / 7,8,4093,"0,48%",Yhdistelmä,Varovainen,
Franklin Alt Strats A(acc)EUR-H1,EUR,The Fund's investment objective is to seek capital appreciation with lower volatility relative to the broad equity markets.,2 stars,4 / 7,8,7,"2,55%",Vaihtoehtoinen,Multistrategia (EUR),
Jupiter European Growth L EUR Acc,EUR,"The fund seeks to achieve long term capital growth by exploiting special investment opportunities in Europe. The Fund will invest primarily in equity and equity related securities (including listed preference shares, listed convertible unsecured loan stock, listed warrants and other similar securities) of issuers which have their registered office in Europe or exercise the predominant part of their economic activities in Europe (including UK) and which are considered by the Investment Manager to be undervalued or otherwise to offer good prospects for capital growth.",2 stars,4 / 7,8,413,"1,72%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
Fidelity Fds- Euro Balanced A Udb,EUR,"The fund aims to provide income over time. The fund invests at least 70% of its assets in equities and debt securities of issuers that are listed, headquartered, or do most of their business in Europe, and European governments.",3 stars,3 / 7,8,70,"1,49%",Yhdistelmä,Maltillinen,
Evli High Yield Yrityslaina B,EUR,"Sijoitusrahasto Evli High Yield Yrityslaina on pitkän koron yrityslainarahasto, joka sijoittaa varansa pääasiassa eurooppalaisten yritysten ja pankkien liikkeeseen laskemiin euromääräisiin joukkovelkakirjoihin. Sijoitusten painopiste on alemman luottoluokituksen (High Yield) lainoissa, ja sijoituskohteiden luottoluokitus on keskimäärin korkeintaan BB+. Lisäksi enintään 20 % rahaston varoista voidaan sijoittaa kohteisiin, joilla ei ole virallista luottoluokitusta.",4 stars,2 / 7,8,1416,"0,97%",Korko,High Yield,
S-Pankki USA Osake A,EUR,"Rahaston varat sijoitetaan yhdysvaltalaisten tai sellaisten yhtiöiden osakkeisiin ja osakesidonnaisiin arvopapereihin, joille Yhdysvallat on keskeinen markkina-alue. Rahaston sijoitustoiminnan tavoitteena on aktiivisella rahastonhoidolla saada sijoitetuille varoille mahdollisimman hyvä pitkän aikavälin tuotto, joka ylittää vertailuindeksin tuoton. Vertailuindeksinä käytetään euromääräistä MSCI USA (tr) -tuottoindeksiä.",4 stars,4 / 7,8,296,"1,50%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
Handelsbanken Pohjois Pien (A1 EUR),EUR,"Rahasto on aktiivisesti hoidettu osakerahasto, jonka tavoitteena on hyvällä riskien hajautuksella saavuttaa pitkällä aikavälillä tuotto, joka ylittää pohjoismaisten pienyritysten markkinoiden tuoton. Rahasto sijoittaa pieniin ja keskisuuriin yrityksiin Tanskassa, Suomessa, Norjassa ja Ruotsissa. Näiden yritysten markkina-arvo ei ostohetkellä saa ylittää 0,5 prosenttia niiden markkinoiden yhteisarvosta, joihin rahasto saa sijoittaa. Rahasto voi myös sijoittaa isompiin yrityksiin, jos katsomme sen olevan osuudenomistajien etu.",3 stars,4 / 7,8,628,"1,60%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat small/mid
Aktia European High Yield Bond+ B,EUR,"Rahasto on aktiivisesti hoidettu, pitkän koron rahasto, joka sijoittaa pääasiallisesti eurooppalaisten pankkien ja yritysten liikkeeseenlaskemiin, korkean luottoriskin korkotuotteisiin. Vähintään 75 % varoista sijoitetaan kohteisiin tai liikkeeseenlaskijoihin, jotka omaavat matalamman luottoluokituksen. Lisäksi enintään 20 % sijoituksista voidaan tehdä korkotuotteisiin, joilla ei ole luottoluokitusta.",4 stars,2 / 7,8,504,"0,81%",Korko,High Yield,
GS Glb Sm Cp CORE Eq Base Inc USD Close,USD,The Portfolio seeks long-term capital appreciation by investing primarily in equity securities of small capitalisation companies that are domiciled anywhere in the world.,4 stars,4 / 7,8,1272,"1,41%",Maantiede,Maailma,Maailma small/mid
Vontobel Commodity B USD,USD,The Sub-Fund aims to achieve sustainable investment returns in USD. The Sub-Fund may also be exposed to the development of the commodities sector via investments in UCITS or other UCIs within the permitted limits including undertakings for collective investment managed by a company belonging to the Vontobel Group.,0 stars,4 / 7,6,510,"1,83%",Sektori,Raaka-aineet laaja,
Allianz Euro High Yield Bond A EUR,EUR,Long-term capital growth by investing in high yield rated Debt Securities denominated in EUR.,3 stars,2 / 7,8,97,"1,40%",Korko,High Yield,
BGF Fixed Income Global Opps A2 EUR H,EUR,"The Fund seeks to maximise total return. The Fund invests at least 70% of its total assets in fixed income transferable securities denominated in various currencies issued by governments, agencies and companies worldwide. The full spectrum of available securities, including non-investment grade, may be utilised. Currency exposure is flexibly managed.",3 stars,3 / 7,6,13,"1,20%",Korko,Joustava,
Spiltan Aktiefond Stabil,SEK,"Spiltan Aktiefond Stabil - tarjoaa kokonaisvaltaisen ratkaisun, jossa säästetään laajassa sekä laajapohjaisessa osakesalkussa, jossa sijoitukset ovat pörssinoteeratuissa, laadukkaissa yhtiöissä. Painopiste on vakaissa yhtiöissä sekä investointiyhtiöissä. Sijoitukset muissa rahastoissa ja erilaiset markkinainstrumentit takaavat vakaan tuoton, joka myös laskee yhtiön kokonaistappion vaaraa. Rahasto on täysin riippumaton eri indeksipainoista. Oasakerahaston - Vakaa - tavoitteena on ensi sijassai luoda vakaa, positiivinen tuotta (7% vuosittain) sekä toiseksi menestyä paremmin kuin verrattavissa olevat rahstot/indeksi.",3 stars,4 / 7,8,4636,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Ruotsi
Schroder ISF Nordic Smlr Coms A € Acc,EUR,The Fund aims to provide capital growth in excess of the MSCI Nordic Smaller Companies (Net TR) index after fees have been deducted over a three to five year period by investing in equity or equity related securities of small-sized Nordic companies.,3 stars,5 / 7,8,13,"1,84%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat small/mid
SEB Global High Yield C EUR,EUR,"Rahasto sijoittaa joukkovelkakirjalainoihin joiden liikkeeseenlaskijayritykset kuuluvat Non-investment Grade -segmentin eli ns. High Yield yhtiöt, joilla on merkittävä luottoriski. High Yield -luokkaan luokiteltujen joukkovelkakirjalainojen luottoluokitus on BB+–D, jossa D vastaa yrityksiä, jotka eivät ole täyttäneet luottositoumuksiaan (default). Suurin osa rahaston varoista on sijoitettu yrityksiin, joiden luottokelpoisuuden arvioidaan olevan hieman korkeampi High Yield -segmentissä. Rahasto hajauttaa sijoituksensa eri toimialoilla toimivien yhdysvaltalaisten ja eurooppalaisten yritysten liikkeeseen laskemien joukkovelkakirjalainojen kesken. Rahastolla on mahdollisuus käyttää johdannaisinstrumentteja. Osuuslajin tavoitteena on olla valuuttasuojattu rahaston perusvaluutan heilahteluilta. Rahasto voi sijoittaa muihin kuin edellä mainittuihin instrumentteihin.",2 stars,2 / 7,8,33,"1,06%",Korko,High Yield,
Ålandsbanken Euro High Yield B,EUR,"Rahaston tavoitteena on saavuttaa hyvä arvonkehitys pitkällä aikavälillä hyödyntämällä High Yield -yrityslainamarkkinoiden tarjoamia korkeampia tuottomahdollisuuksia. Rahaston varat sijoitetaan valikoidusti High Yield -luokiteltuihin yrityslainoihin (H.Y. yrityslainoja jotka tarjoavat paremmat tuottomahdollisuudet mutta joilla on myös korkeampi riski liikkeeseenlaskijoiden luottokelpoisuusluokitusten perusteella. Liikkeeseenlaskijoiden vakavaraisuus on tyypillisesti keskimääräistä heikompi). Rahasto sijoittaa euromääräisiin yrityslainoihin ja noudattaa salkunhoidossaan aktiivista strategiaa, jonka perustana ovat toimialavalinnat sekä obligaatioiden harkittu valinta.",3 stars,2 / 7,8,194,"1,00%",Korko,High Yield,
Fidelity European Sm Cos A Udb,EUR,"Fidelity European Smaller Companies on osakerahasto, joka sijoittaa iso-britannialaisiin ja mannereurooppalaisiin pienyrityksiin (markkina-arvo alle $1 miljardin).",3 stars,4 / 7,8,432,"1,91%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
Allianz Little Dragons A2 EUR,EUR,"Long-term capital growth by investing in Asian Equity Markets, excluding Japan, with a focus on small-sized and mid-sized companies.",2 stars,4 / 7,6,57,"2,30%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Fidelity Glb Thematic Opps A-USD,USD,"Fidelity International Fund on osakerahasto, joka sijoittaa kansainvälisille osakemarkkinoille mukaanlukien kehittyvät markkinat.",3 stars,4 / 7,8,56,"1,90%",Tyyli,kasvuosakkeet,
HSBC GIF Euro High Yield Bond AC,EUR,"The sub-fund aims to provide long term total return by investing in a portfolio of Euro denominated high yielding bonds, while promoting ESG characteristics within the meaning of Article 8 of SFDR. The sub-fund aims to do this with a higher ESG rating, calculated as a weighted average of the ESG ratings given to the issuers of the sub-fund’s investments, than the weighted average of the constituents of the ICE BofA Euro High Yield BB-B Constrained1 (the “Reference Benchmark”). The sub-fund invests (normally a minimum of 90% of its net assets) in Non-Investment Grade rated fixed income securities and other higher yielding securities (including unrated bonds) which are either issued by companies or issued or guaranteed by government, government agencies or supranational bodies in both developed markets and Emerging Markets. These securities are denominated in Euro and, on an ancillary basis (normally up to 10% of the sub-fund's net assets), in other developed market currencies.",3 stars,3 / 7,8,74,"1,35%",Korko,High Yield,
Fidelity Global Financial Svcs A-Dis-EUR,EUR,Rahasto sijoittaa maailmanlaajuisesti pankki & rahoitus alan yrityksiin.,3 stars,4 / 7,8,407,"1,90%",Sektori,Rahoituspalvelut,
Fidelity European Hi Yld A-Acc-EUR,EUR,"The fund aims to achieve capital growth over time and provide a high level of income. The fund invests at least 70% of its assets, in high-yielding below investment grade debt securities of issuers that are headquartered, or do most of their business, in Western, Central and Eastern Europe (including Russia), including emerging markets.",3 stars,2 / 7,8,61,"1,40%",Korko,High Yield,
S-Pankki Kehittyvät Markkinat Korko A,EUR,"""Rahaston sijoitustoiminnan tavoitteena on aktiivisella omaisuudenhoidolla saada sijoitetuille varoille mahdollisimman hyvää tuottoa kehittyvien maiden korkomarkkinoilta keskipitkällä aikavälillä. Rahasto sijoittaa varansa maailmanlaajuisesti pääasiassa kehittyvien valtioiden liikkeeseen laskemiin joukkolainoihin, mutta n. 15 % varoista voi olla sijoitettuna kyseisissä maissa sijaitsevien yritysten joukkolainoihin. Rahasto ei yleensä sijoita kaikkein korkeariskisimpiin liikkeeseenlaskijoihin, joiden riskiluokitus on CCC+/Caa1 tai huonompi. """,3 stars,3 / 7,6,96,"0,90%",Korko,Kehittyvät maat,
UBS (Lux) KSS Global Eqs $ EUR P-acc,EUR,"The sub-fund as an ESG integration fund which does not promote particular ESG characteristics or pursues a specific sustainability or impact objective. In line with the above-mentioned investment policy, the sub-fund invests at least two thirds of its assets in equities and equity rights worldwide. In so doing, the sub-fund may invest up to 25% of its assets in equities and equity rights of companies domiciled or chiefly active in emerging markets.",2 stars,4 / 7,6,16,"2,10%",Maantiede,Maailma,
Amundi Fds Multi-Strat Gr A EUR C,EUR,L’objectif de ce Compartiment est d’obtenir un rendement absolu et la préservation du capital sur le moyen et le long terme. Il se concentre sur le risque et le rendement absolus du portefeuille en investissant au moins deux tiers de la totalité de ses actifs dans un portefeuille diversifié composé d’actions et d’instruments apparentés à des actions de même que de tout type de titres de créance et d’instruments d’emprunt.,3 stars,4 / 7,8,43,"1,63%",Vaihtoehtoinen,Makrotreidaus (EUR),
